,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
ZBTB18 (10472),-0.062015957,-0.12521364258333337,0.06319768558333337,246.0
DTL (51514),-2.400479782644628,-2.4636559,0.06317611735537199,247.0
TUBB (203068),-1.8907491842975208,-1.9539136416666667,0.06316445736914589,248.0
CDCA8 (55143),-1.524717,-1.5878757333333333,0.06315873333333322,249.0
RRM2 (6241),-2.5818781429752065,-2.6449808166666666,0.06310267369146016,250.0
TYRO3 (7301),-0.30853381553719006,-0.3716085891666667,0.06307477362947667,251.0
RPS4X (6191),-2.598409217355372,-2.661480925,0.0630717076446281,252.0
CD79A (973),0.14664159403305788,0.08358002650000002,0.06306156753305786,253.0
SYT10 (341359),0.4006867516528926,0.3377872341666666,0.06289951748622596,254.0
CEP192 (55125),-0.911809975123967,-0.974545565,0.062735589876033,255.0
CNOT3 (4849),-1.5625829099173556,-1.6252802916666667,0.06269738174931105,256.0
POLR3H (171568),-1.7744025157024792,-1.8368798249999998,0.0624773092975206,257.0
HEATR1 (55127),-1.8033322818181816,-1.8658048500000002,0.062472568181818566,258.0
COPS2 (9318),-1.3382385537190085,-1.4007057666666667,0.062467212947658224,259.0
NKAP (79576),-1.145317244628099,-1.207773475,0.062456230371900956,260.0
MDN1 (23195),-1.5187444024793388,-1.5809326666666668,0.062188264187327924,261.0
ZNF492 (57615),-1.0383245667768595,-1.1004393666666668,0.06211479988980728,262.0
GAP43 (2596),0.11760103666942148,0.055487595333333334,0.06211344133608815,263.0
LGALS1 (3956),0.21105992694214878,0.14900314583333332,0.06205678110881546,264.0
SRCAP (10847),-1.1435881280991733,-1.20559845,0.06201032190082678,265.0
TFAP4 (7023),-0.3881738065289256,-0.4501235808333333,0.061949774304407734,266.0
POU2F2 (5452),0.08654457038595043,0.02460175539166667,0.06194281499428375,267.0
P2RX6 (9127),0.10836800849090908,0.046475855116666666,0.06189215337424241,268.0
SRFBP1 (153443),-0.8400021714876034,-0.9018930466666667,0.06189087517906333,269.0
MARCHF9 (92979),-0.4253156568595042,-0.4871611441666667,0.06184548730716255,270.0
HNRNPH1 (3187),-1.184981367768595,-1.2467531250000001,0.061771757231405156,271.0
AKR1B1 (231),0.21467555425619833,0.15300594708333332,0.061669607172865015,272.0
LAS1L (81887),-1.0531234090909092,-1.1147796583333334,0.06165624924242419,273.0
PRMT5 (10419),-1.1655276033057853,-1.226936025,0.06140842169421479,274.0
CTSD (1509),0.22174600925619833,0.16047571666666668,0.06127029258953165,275.0
PXN (5829),-0.29869167867768587,-0.35991974749999994,0.061228068822314075,276.0
CYP4F3 (4051),0.25995398561983474,0.19879274500000002,0.06116124061983472,277.0
TCOF1 (6949),-0.6220025501652893,-0.68308913,0.061086579834710775,278.0
DYNC1H1 (1778),-1.7073857570247934,-1.7684223666666667,0.061036609641873296,279.0
IPPK (64768),-0.4783728845454545,-0.5393974833333333,0.06102459878787875,280.0
C3orf49 (132200),-0.9191147360330578,-0.9801111391666666,0.06099640313360877,281.0
SEC14L4 (284904),-0.09654623447107437,-0.1574887275,0.06094249302892564,282.0
ANXA10 (11199),0.10111619114049586,0.04028803025,0.06082816089049586,283.0
INTS13 (55726),-0.48643644933884306,-0.5472255983333333,0.06078914899449023,284.0
ECHDC1 (55862),0.18921066110743803,0.12852967116666666,0.06068098994077137,285.0
SUGT1 (10910),-0.8147611475206612,-0.8754154675,0.06065431997933879,286.0
NOM1 (64434),-0.7437029371074381,-0.8042738908333332,0.06057095372589516,287.0
GABRA3 (2556),0.29152955264462804,0.23096350749999997,0.06056604514462807,288.0
C1orf167 (284498),0.8948720902479339,0.834325685,0.060546405247933865,289.0
XYLT2 (64132),-0.28101569818181815,-0.341547545,0.060531846818181856,290.0
MRPS30 (10884),-0.36870284322314045,-0.42909778583333336,0.0603949426101929,291.0
HTR3A (3359),0.11631332401652891,0.05599321875,0.060320105266528916,292.0
OR4C11 (219429),0.03221981839338843,-0.027988408083333336,0.06020822647672176,293.0
SSBP3 (23648),-0.31958614206611574,-0.37976571833333334,0.060179576267217594,294.0
RS1 (6247),0.2516439714049587,0.19146931250000002,0.06017465890495868,295.0
INTS11 (54973),-2.138283599173554,-2.198449083333333,0.0601654841597794,296.0
GNB1L (54584),-0.7160999476033056,-0.7762414508333334,0.06014150323002776,297.0
GAB2 (9846),-0.18135716231404958,-0.2411661641666666,0.05980900185261703,298.0
